date,macd,ma5,roc,rsi,clicks,decision
1494378000,-5.67948717949,16.2,0.217391304348,-4400.0,28,1.0
1494381600,-4.53846153846,23.2,1.375,270.0,38,1.0
1494385200,-4.19230769231,27.0,0.285714285714,1225.0,27,-1.0
1494388800,-4.07051282051,25.6,0.0588235294118,2450.0,18,-1.0
1494392400,-2.69230769231,28.2,1.30769230769,622.222222222,30,1.0
1494396000,-0.666666666667,28.2,3.66666666667,509.090909091,28,-1.0
1494399600,1.92948717949,27.6,16.5,286.363636364,35,1.0
1494403200,4.35256410256,29.8,18.0,206.25,38,1.0
1494406800,6.05769230769,32.0,8.66666666667,244.444444444,29,-1.0
1494410400,7.70512820513,31.0,2.125,286.956521739,25,-1.0
1494414000,8.26282051282,33.4,0.6,216.216216216,40,1.0
1494417600,7.47435897436,26.8,-0.882352941176,-1250.0,2,-1.0
1494421200,6.83974358974,21.8,-0.535714285714,-575.0,13,1.0
1494424800,5.9358974359,23.0,-0.0789473684211,505.555555556,35,1.0
1494428400,5.69230769231,23.0,-0.0740740740741,-2666.66666667,25,-1.0
1494432000,5.61538461538,18.6,0.0,-350.0,18,-1.0
1494435600,4.28205128205,19.8,-0.733333333333,-368.421052632,8,-1.0
1494439200,2.69230769231,17.6,-0.928571428571,-437.5,2,-1.0
1494442800,0.410256410256,11.2,-0.914285714286,-218.518518519,3,1.0
1494446400,-2.48076923077,6.4,-0.973684210526,-218.518518519,1,-1.0
1494450000,-4.64102564103,3.6,-0.862068965517,-177.419354839,4,1.0
1494453600,-6.01923076923,4.8,-0.44,-258.333333333,14,1.0
1494457200,-8.47435897436,7.8,-0.575,-541.666666667,17,1.0
1494460800,-7.07692307692,12.8,13.0,2533.33333333,28,1.0
1494464400,-6.07692307692,17.6,0.923076923077,-406.666666667,25,-1.0
1494468000,-7.30769230769,21.4,-0.342857142857,290.476190476,23,-1.0
1494471600,-7.19230769231,23.6,0.0,433.333333333,25,1.0
1494475200,-6.28846153846,24.4,0.166666666667,-214.285714286,21,-1.0
1494478800,-4.79487179487,23.8,2.125,-inf,25,1.0
1494482400,-2.69871794872,25.8,16.5,258.823529412,35,1.0
1494486000,-0.987179487179,24.8,5.0,440.0,18,-1.0
1494489600,1.71153846154,27.4,37.0,177.777777778,38,1.0
1494493200,3.89102564103,28.4,5.5,273.913043478,26,-1.0
1494496800,5.08333333333,27.4,0.428571428571,331.578947368,20,-1.0
1494500400,5.58974358974,24.0,0.0588235294118,428.571428571,18,-1.0
1494504000,5.69871794872,27.0,0.178571428571,342.105263158,33,1.0
1494507600,6.45512820513,25.2,0.16,516.666666667,29,-1.0
